bigram,count
中式_恐怖,103
尸体_腐烂,96
腐烂_泥土,95
鸟儿_天空,89
泥土_我会,76
我会_鸟儿,73
长亭_古道,47
陈老师_陈老师,41
绽放_烟火,33
陈老师_tt,32
恐怖_元素,32
tt_陈老师,31
月光_蟑螂,31
恐怖_氛围,30
今宵_别梦寒,30
灵魂_指引方向,29
古道_芳草,28
不到_归路,27
芳草_连天,27
归路_灵魂,27
烟火_不到,25
支教_老师,24
jump_scare,24
科学_迷信,23
成为_绳子,22
恐怖_解密,20
星辰_坠入,19
人物_塑造,18
啊啊啊_啊啊啊,17
遭受_苦难,17
作业本_生根,17
坠入_星河,17
生根_发芽,17
尽余欢_今宵,16
of_the,16
这是_一场,16
一颗_星辰,16
封建迷信_害死,16
化作_一颗,16
国产_恐怖,16
呜呜_呜呜,16
逝者_葬礼,15
浊酒_尽余欢,15
昏暗_深渊,15
三个_小时,14
氛围_营造,14
一场_逝者,14
开出_遍野,13
星空_成为,13
痛苦_挣扎,13
喜欢_陈老师,13
恐怖_恐怖,13
烟火_绽放,13
最后_送别,13
走出_大山,13
视觉_小说,13
泥土_鸟儿,12
深渊_正在,12
正在_遭受,12
发芽_开出,12
恐怖_程度,12
解密_难度,12
晚风_柳笛声,12
应该_地方,11
连天_晚风,11
广阔_世界,11
一壶_浊酒,11
挣扎_灵魂,11
夕阳_山外山,11
四张_船票,11
五年_十年,11
恐怖_要素,11
恐怖_气氛,11
游玩_过程,11
烟火_烟火,11
最后_结局,11
柳笛声_夕阳,11
三年_五年,11
两年_三年,11
灭门_惨案,11
期待_三伏,11
只能_井口,10
美术_风格,10
留在_昨天,10
难度_不高,10
指引方向_这是,10
狭窄_星空,10
劝君_杯酒,10
古道_劝君,10
离别_长亭,10
社会_问题,10
陈老师_结局,10
灰烬_埋葬,10
恐怖_吓人,9
这片_土地,9
苦难_痛苦,9
仰望_星空,9
the_game,9
每个_角色,9
燃烧_灰烬,9
孩子_被困,9
一片_狭窄,9
举办_葬礼,9
抨击_封建迷信,9
人世间_苦难,9
井里_只能,9
叶敬山_赵小娟,9
值得_一玩,9
知交_零落,9
真正_离别,9
天之涯_地之角,9
葬礼_放烟火,9
放烟火_绽放,9
往常_清晨,9
地之角_知交,9
孩子_出去,8
小蝌蚪_妈妈,8
陈老师_医生,8
恐怖_悬疑,8
珍贵_美好,8
希望_每个,8
恐怖_解谜,8
像是_一部,8
谜题_设计,8
优秀_恐怖,8
见识_人世间,8
井口_一片,8
刚刚_见识,8
先上去_一把,8
如山_灰烬,8
杯酒_往常,8
已经_如山,8
或许_里面,8
死灰_或许,8
陪伴_已经,8
灰烬_堆积,8
堆积_一起,8
蟑螂_老师,8
送别_响起,8
玩完_之后,8
璀璨_星空,8
闭塞_小镇,8
一款_恐怖,8
习俗_葬礼,8
一首_送别,8
最后_希望,7
解谜_部分,7
传统_恐怖,7
最后_陈老师,7
烟火_一款,7
印象_深刻,7
化作_烟火,7
医生_赵小娟,7
一场_电影,7
起来_荒唐,7
前面_几座,7
不到_陈老师,7
曾经_温暖,7
陈老师_举办,7
恐怖_外衣,7
一团_死灰,7
作者_月光,7
里面_熊熊燃烧,7
这是_一款,7
恐怖_烟火,7
被困_井里,7
十年_不到,7
解密_简单,7
解谜_难度,7
苦难_应该,7
星空_越来越近,7
文物_倒卖,7
国产_独立,7
父亲_阴影,7
清晨_留在,7
第九_艺术,7
每个_人物,7
希望_烟火,7
氛围_渲染,7
葬礼_起来,7
支持_一下,7
绳子_孩子,7
一种_无法,6
警察_林理洵,6
恐怖_之后,6
解谜_要素,6
烟火_一部,6
陈老师_呜呜,6
小时_流程,6
无法_言说,6
赵小娟_叶敬山,6
或许_一团,6
公公_婆婆,6
葬礼_日子,6
熊熊燃烧_火焰,6
解密_部分,6
恐怖_题材,6
不错_恐怖,6
大山_孩子,6
开发者_邀请,6
几座_燃烧,6
倒映_星空,6
浮出_水面,6
不再_害怕,6
中国_鉴赏家,6
井水_倒映,6
一部_恐怖,6
悲剧_发生,6
日子_习俗,6
陈老师_不见,6
鉴赏家_同好,6
泥土_里会,6
发现_珍贵,6
氛围_塑造,6
