word,count
恐怖,570
烟火,414
陈老师,380
最后,246
赵小娟,180
希望,167
孩子,161
天空,135
中式,131
封建迷信,129
悲剧,128
医生,122
尸体,121
解密,114
鸟儿,110
老师,109
迷信,108
田家,105
腐烂,105
泥土,103
已经,100
人物,99
不错,99
芳芳,97
送别,94
成为,93
氛围,92
解谜,92
结局,91
这种,91
国产,91
灵魂,90
喜欢,90
地方,87
叶敬山,85
我会,83
主角,82
星空,80
真正,78
真相,78
一部,77
人心,76
一种,76
the,75
整个,74
或许,73
优秀,73
小时,72
知道,68
无法,68
之后,68
中国,67
每个,66
叙事,66
绳子,65
大山,65
场景,65
结尾,65
作者,64
这是,64
家庭,64
值得,61
流程,61
世界,61
部分,61
灰烬,60
只能,60
最终,59
画面,59
陈青穗,58
生活,58
一款,58
想要,58
角色,58
推荐,58
能够,58
难度,57
不到,57
小镇,57
设计,57
东西,56
发生,56
儿子,55
游玩,55
发现,55
元素,55
绽放,55
三伏,53
有点,53
一场,52
不能,52
相信,52
葬礼,51
应该,51
确实,51
苦难,51
简单,50
选择,50
一下,49
存在,49
长亭,49
一点,49
现实,49
自由,49
感动,49
林理洵,49
一定,49
电影,48
问题,48
一直,47
神婆,47
古道,47
本作,47
之前,46
十分,46
带来,46
小娟,46
警察,46
调查,45
像是,45
人生,44
玩完,44
社会,44
令人,44
星河,43
出现,43
善良,43
吓人,43
有人,43
期待,43
悬疑,43
支教,43
美好,42
过程,42
女儿,42
妈妈,42
盗墓,41
里面,41
需要,41
走出,41
化作,40
田宇,40
警官,39
感受,39
燃烧,39
害怕,39
呜呜,39
那种,39
封建,39
整体,39
一起,39
方式,38
案件,38
父亲,38
永远,38
感到,38
文化,38
科学,38
塑造,37
情节,37
风格,37
起来,37
感人,36
个人,36
比较,36
大概,36
音乐,36
现在,36
特别,36
蟑螂,36
未来,36
操作,35
tt,35
完全,35
线索,35
鬼神,35
事情,35
田向荣,35
内容,35
星辰,34
黑暗,34
直接,34
很棒,34
拐卖,33
谜题,33
离开,33
月光,33
认为,33
程度,33
演出,33
恐惧,33
传统,33
后面,33
背景,32
一次,32
同样,32
心中,32
思想,32
名字,32
玩法,32
结束,32
代入,31
痛苦,31
of,31
悲伤,31
导致,31
剧本,31
几乎,30
思考,30
指引方向,30
清潭,30
要素,30
人性,30
田芳芳,30
过去,30
细节,30
不要,30
别梦寒,30
今宵,30
找到,30
气氛,29
感情,29
营造,29
压抑,29
星星,29
纸人,29
不再,29
主要,29
害死,29
文物,29
以后,29
时间,29
帮助,29
愿意,28
沉浸,28
精彩,28
死者,28
小说,28
主题,28
能力,28
两个,28
归路,28
算是,28
逐渐,28
儿媳,28
芳草,28
逃离,27
飞鸟,27
表现,27
照亮,27
情感,27
连天,27
背后,27
了解,27
原因,27
属于,27
温暖,27
船票,27
意外,27
环境,26
继续,26
基本,26
可惜,26
似乎,26
jump,26
井底,26
救赎,26
突然,26
充满,26
理解,26
震撼,26
一段,26
完整,26
记得,26
身上,26
